Country (Name),ASFIS species (Name),FAO major fishing area (Name),Unit (Name),[1950],S,[1951],S,[1952],S,[1953],S,[1954],S,[1955],S,[1956],S,[1957],S,[1958],S,[1959],S,[1960],S,[1961],S,[1962],S,[1963],S,[1964],S,[1965],S,[1966],S,[1967],S,[1968],S,[1969],S,[1970],S,[1971],S,[1972],S,[1973],S,[1974],S,[1975],S,[1976],S,[1977],S,[1978],S,[1979],S,[1980],S,[1981],S,[1982],S,[1983],S,[1984],S,[1985],S,[1986],S,[1987],S,[1988],S,[1989],S,[1990],S,[1991],S,[1992],S,[1993],S,[1994],S,[1995],S,[1996],S,[1997],S,[1998],S,[1999],S,[2000],S,[2001],S,[2002],S,[2003],S,[2004],S,[2005],S,[2006],S,[2007],S,[2008],S,[2009],S,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S
Algeria,"Rays, stingrays, mantas nei",Mediterranean and Black Sea,Tonnes - live weight,300,,100,,200,,200,,200,,100,,100,,100,,200,,100,,200,,200,,100,,0,,100,,0,N,0,N,0,N,0,N,0,N,0,N,0,N,100,,100,,100,,150,,130,,172,,196,,220,,270,E,320,E,370,E,373,E,376,E,380,E,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,124,,272,,120,,450,,207,,191,,298,,491,,641,,330,,344,,359,,399,,383,,255,,173,,192,,173,,144,,130,,163,,173.78,,208.91,,246,,131.49,
Algeria,"Sharks, rays, skates, etc. nei",Mediterranean and Black Sea,Tonnes - live weight,0,,0,,0,,0,,300,,200,,100,,200,,100,,200,,300,,300,,300,,0,,400,,200,,300,,300,,100,,100,,200,,178,,100,,100,,100,,88,,91,,230,,350,,270,,340,,390,E,450,E,453,E,456,E,460,E,0,...,0,...,0,...,0,...,474,,709,,751,,1127,,1200,E,1000,,965,,415,,867,,854,,331,,679,,519,,25,,12,,30,,11,,11,,34,,59,,41,,53,,39,,41,,44,,56,,61.35,,48.88,,62,,59.49,
American Samoa,Blue shark,"Pacific, Eastern Central",Tonnes - live weight,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,1,,1,,1,,2,,5,,0,...,0,...,0,...,0,...,2,,2,,6,,0,...
American Samoa,Mako sharks,"Pacific, Eastern Central",Tonnes - live weight,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,0,,0,,3,,8,,8,,4,,2,,4,,9,,6,,5,,3,
American Samoa,"Sharks, rays, skates, etc. nei","Pacific, Eastern Central",Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,2,,0,N,0,,4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...
American Samoa,Thresher sharks nei,"Pacific, Eastern Central",Tonnes - live weight,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,,4,,0,,1,,1,,0,,3,,1,,1,
Angola,"Rays, stingrays, mantas nei","Atlantic, Eastern Central",Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,,0,,16,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Angola,"Rays, stingrays, mantas nei","Atlantic, Southeast",Tonnes - live weight,100,,100,,100,,100,,0,N,0,N,100,,0,N,100,,200,,100,,200,,200,,100,,100,,100,,100,,100,,0,...,0,...,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,16,,14,,10,,9,,41,,1,,448,,0,...,696,,860,,568,,215,,21,,16,,750,,1399,,593,,1430,,2696,,1641,,1876,,1700,E,1876,,5686,,172,,822,,950,E,1060,E,1170,E,1280,E,1397,,1428,,1295,,1899,,2584,,1620,
Angola,"Sharks, rays, skates, etc. nei","Atlantic, Eastern Central",Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,,0,,145,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Angola,"Sharks, rays, skates, etc. nei","Atlantic, Southeast",Tonnes - live weight,700,,900,,700,,900,,600,,600,,600,,700,,800,,800,,700,,700,,600,,300,,400,,500,,600,,600,,600,,900,,1100,,1300,,700,,200,,361,,221,,572,,414,,1107,,282,,209,,140,,183,,0,...,59,,38,,46,,21,,71,,10,,52,,35,,7,,29,,35,,755,,379,,90,,376,,0,...,157,,3354,,3236,,1438,,1746,,1600,E,1746,,2855,,895,,106,,500,E,900,E,1300,E,1700,E,2099,,2033,,1810,,1910,,58,,351,
Antigua and Barbuda,"Sharks, rays, skates, etc. nei","Atlantic, Western Central",Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,8,,17,,36,,29,,17,,44,,30,,91,,47,,28,,46,,50,,38,,33,,22,,22,E,22,E,22,E,22,E
Argentina,Antarctic starry skate,"Atlantic, Antarctic",Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Argentina,Antarctic starry skate,"Pacific, Antarctic",Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Argentina,Argentine angelshark,"Atlantic, Southwest",Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,3242,,4167,,3647,,4080,,3662,,3802,,4281,,4410,,4310,,3803,,3123,,3840,,2812,,3555,,3767,,3863,,4218,,4293,,5214,,5065,,5252,,4509,,3643,,2854,,3010,,2843,,2854,,2250,,1849,,1951,
Argentina,Bignose fanskate,"Atlantic, Southwest",Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,53,,39,,0,N,1,,0,,0,,0,,0,,1,,0,N,1,
Argentina,Bluntnose sixgill shark,"Atlantic, Southwest",Tonnes - live weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,21,,8,,0,,0,,0,,0,,0,,0,,0,,0,,0,...
