Reporting country (Name),Commodity (Name),Trade flow (Name),Unit (Name),Unit,[1976],S,[1977],S,[1978],S,[1979],S,[1980],S,[1981],S,[1982],S,[1983],S,[1984],S,[1985],S,[1986],S,[1987],S,[1988],S,[1989],S,[1990],S,[1991],S,[1992],S,[1993],S,[1994],S,[1995],S,[1996],S,[1997],S,[1998],S,[1999],S,[2000],S,[2001],S,[2002],S,[2003],S,[2004],S,[2005],S,[2006],S,[2007],S,[2008],S,[2009],S,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S
Antigua and Barbuda,Marine fishes,Reexports,Tonnes – net product weight,Tonnes – net product weight,0,...,0,N,1,,0,...,15,,12,,0,...,0,...,0,N,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,12,,4,,0,...,0,...,0,...,0,...,0,N,0,...,3,,0,...,0,N,0,N,0,N,0,N,1,,12,,2,,2,,2,,0,N,0.78,
Argentina,Marine fishes,Exports,Tonnes – net product weight,Tonnes – net product weight,102064,,158831,,162447,,177880,,158730,,143027,,180773,,134426,,86979,,120437,,177502,,199920,,182684,,193719,,227058,,256062,,194122,,266561,,331385,,383875,,407589,,368910,,343021,,299916,,238730,,228080,,287835,,345229,,374075,,356416,,370944,,320065,,320467,,352505,,316273,,300869,,262308,,245994,,245171,,219441,,213863,,187411,,179949,,189079.5,
Argentina,Marine fishes,Imports,Tonnes – net product weight,Tonnes – net product weight,174,,7146,,7069,,12431,,13220,,11818,,11262,,8305,,12643,,8897,E,11265,E,23661,,14633,,11908,,3960,,13544,,21518,,17578,,22690,,23085,,23381,,27744,,26436,,29562,,35635,,32738,,6588,,15760,,25619,,29669,,30864,,36423,,28249,,26159,,32587,,36768,,33593,,29709,,25182,,33409,,34948,,35235,,36122,,27740.4,
Armenia,Marine fishes,Exports,Tonnes – net product weight,Tonnes – net product weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,59,,0,...,2,,0,...,6,,10,,91,,36,,8,,20,,10,,3,,15,,13,,16,,17,,19,,32,,1426,,868,,1182,,1240,,1486,,876,,821.35,
Armenia,Marine fishes,Imports,Tonnes – net product weight,Tonnes – net product weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,287,E,751,,237,,381,,1043,E,1568,,2632,,2462,,3358,,2941,,4432,,9538,,4952,,3997,,4883,,4658,,3216,,4728,,5083,,4262,,4014,,3193,,3204,,3963,,3189,,4460.97,
Armenia,Marine fishes,Reexports,Tonnes – net product weight,Tonnes – net product weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,37,,30,,0,...,0,N,35,,15,,1,,12,,26,,0,...,0,...,17,,27,,0,...,0,...,0,...,0,...,0,...,0.04,
Aruba,Marine fishes,Exports,Tonnes – net product weight,Tonnes – net product weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,8,,112,E,257,,672,,18,,11,,18,,4,,5,E,4,E,5,E,0,...,0,...,22,E,0,...,166,,81,,110,,335,,242,,190,,106,,13,,10,,4,,2,,3,,0,N,0,N,23,,1,E,5,,19,,25,,31,,2.05,
Aruba,Marine fishes,Imports,Tonnes – net product weight,Tonnes – net product weight,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,681,,1234,E,2212,,1374,,797,,1112,,817,,801,,1226,E,1830,E,2439,E,3606,,4002,,3898,,4039,,1541,,1589,,1472,,1511,,1848,,1820,,1600,,1995,,1860,,1979,,1527,,1522,,1275,,1590,,1494,,1125,,1353,,1349,,1070,,1130,,1065.75,
Australia,Marine fishes,Exports,Tonnes – net product weight,Tonnes – net product weight,2144,,6045,,3147,,3661,,9573,,7098,,14308,,16739,,9644,,6958,,8802,,12152,,10540,E,9187,,16011,,17993,,15124,,13958,,16378,,19356,,19335,,27806,,34225,,32495,,38087,,47221,,45304,,41896,,35637,,29736,,33023,,21227,,20832,,22069,,20057,,19762,,18778,,18761,,22136,,29802,,40610,,21853,,21720,,21797.77,
Australia,Marine fishes,Imports,Tonnes – net product weight,Tonnes – net product weight,51070,,53667,,45453,,47232,,68925,,63845,,62095,,62527,,69951,,80512,,69214,,72924,,76566,,92543,,104193,,80925,,98272,,91128,,152291,E,121858,,147485,,158768,,142010,,191336,,229701,,212498,,215799,,194785,,214710,,196875,,215393,,214104,,225460,,203546,,195073,,194106,,207221,,208448,,216190,,197848,,201262,,193975,,195194,,195493.13,
