TAXONOMIC_CODE,ALPHA_3_CODE,SCIENTIFIC_NAME,NAME.EN,NAME.FR,NAME.ES,EBXID,AUTHOR
1580200102,CUC,Genypterus chilensis,Red cusk-eel,Abadèche rouge,Congribadejo colorado,3258,(Guichenot 1848)
1580200103,CUB,Genypterus maculatus,Black cusk-eel,Abadèche noir,Congribadejo negro,2460,(Tschudi 1846)
1580200105,KCP,Genypterus capensis,Kingklip,Abadèche du Cap,Congribadejo(=Rosada) del Cabo,3259,(Smith 1847)
15802001XX,CEX,Genypterus spp,Cusk-eels nei,Abadèches nca,Congribadejos nep,2459,
1580200501,OBK,Brotula clarki,,,,10962,Hubbs 1944
1580200502,BRD,Brotula barbata,Bearded brotula,Brotule barbée,Brótula de barbas,2461,(Bloch & Schneider 1801)
15802XXXXX,OPH,Ophidiidae,"Cusk-eels, brotulas nei","Abadèches, brotules nca","Brótulas, congribadejos nep",3256,
1600200101,BBF,Barbourisia rufa,Velvet whalefish,,,10719,Parr 1945
1610100102,PXV,Polymixia nobilis,Stout beardfish,Poisson chèvre robuste,Chivato de fondo,18872,Lowe 1838
1610200301,BXD,Beryx decadactylus,Alfonsino,Béryx commun,Alfonsino palometón,10871,Cuvier 1829
1610200302,BYS,Beryx splendens,Splendid alfonsino,Béryx long,Alfonsino besugo,3040,Lowe 1834
16102003XX,ALF,Beryx spp,Alfonsinos nei,Béryx nca,Alfonsinos nep,2248,
1610201201,CXF,Centroberyx affinis,Redfish,Béryx australien,,3644,(Günther 1859)
16102XXXXX,BRX,Berycidae,"Alfonsinos, etc. nei","Béryx, etc. nca","Alfonsinos, etc. nep",3039,
1610500101,GXW,Gephyroberyx darwinii,Darwin's slimehead,,,12312,(Johnson 1866)
1610500201,HPR,Hoplostethus mediterraneus,Mediterranean slimehead,Hoplostète argenté,Reloj mediterráneo,12747,Cuvier 1829
1610500202,ORY,Hoplostethus atlanticus,Orange roughy,Hoplostète orange,Reloj anaranjado,2249,Collett 1889
1610501301,TPT,Paratrachichthys trailli,Sandpaper fish,,,14169,(Hutton 1875)
16105XXXXX,TRC,Trachichthyidae,Slimeheads nei,Poissons-montres nca,Relojes nep,3041,
1611100502,HOO,Holocentrus adscensionis,Squirrelfish,Marignan coq,Candil gallito,12727,(Osbeck 1765)
1611101102,HVS,Sargocentron spiniferum,Sabre squirrelfish,Marignan sabre,Candil sable,18887,(Forsskål 1775)
1611101105,HWH,Sargocentron rubrum,Redcoat,Marignan rouget,,20023,(Forsskål 1775)
16111XXXXX,HCZ,Holocentridae,Squirrelfishes nei,Marignans nca,Candiles nep,3042,
1620100101,JOD,Zeus faber,John dory,Saint Pierre,Pez de San Pedro,2250,Linnaeus 1758
1620100104,ZCP,Zeus capensis,Cape dory,Saint Pierre du Cap,San Pedro del Cabo,16059,Valenciennes 1835
1620100401,JOS,Zenopsis conchifer,Silvery John dory,Saint Pierre argenté,San Pedro plateado,3044,(Lowe 1852)
1620100402,ZNE,Zenopsis nebulosus,Mirror dory,,,18586,(Temminck & Schlegel 1845)
1620100801,ZCA,Capromimus abbreviatus,Capro dory,,,11084,(Hector 1875)
1620101101,ZCN,Cyttus novaezealandiae,New Zealand dory,,,11757,(Arthur 1885)
1620101102,ZCT,Cyttus traversi,King dory,,,18835,Hutton 1872
16201XXXXX,ZEX,Zeidae,Dories nei,Saint Pierres nca,Peces de San Pedro nep,3043,
1620300201,BOC,Capros aper,Boarfish,Sanglier,Ochavo,3045,(Linnaeus 1758)
1620300801,ZAC,Antigonia capros,Deepbody boarfish,Sanglier chevrette,,10437,Lowe 1843
16203XXXXX,BOR,Caproidae,Boarfishes nei,Sangliers nca,Ochavos nep,2251,
1620400102,ONV,Neocyttus rhomboidalis,Spiky oreo,,,18840,Gilchrist 1906
1620400201,SSO,Pseudocyttus maculatus,Smooth oreo dory,Arrose lisse,,3046,Gilchrist 1906
1620400701,BOE,Allocyttus niger,Black oreo,Arrose noir,,2253,"James, Inada & Nakamura 1988"
1620400702,ALL,Allocyttus verrucosus,Warty dory,,,2254,(Gilchrist 1906)
16204XXXXX,ORD,Oreosomatidae,Oreo dories nei,Oréos nca,Oreós nep,2252,
1630200201,ODR,Odontesthes regia,Chilean silverside,Athérine chilienne,Pejerrey de mar,13865,(Humboldt 1821)
1630200203,BCB,Odontesthes bonariensis,Argentinian silverside,Athérine d'Argentine,Pejerrey de Argentina,3059,(Valenciennes 1835)
1630200204,OWM,Odontesthes smitti,,,Pejerrey de aleta amarilla,19252,(Lahille 1929)
1630200301,ATB,Atherina boyeri,Big-scale sand smelt,Joël,Pejerrey mediterráneo,2263,Risso 1810
1630200302,AHH,Atherina hepsetus,Mediterranean sand smelt,Sauclet,Chucleto,10634,Linnaeus 1758
1630200303,ATP,Atherina presbyter,Sand smelt,,,10635,Cuvier 1829
16302006XX,KRW,Chirostoma spp,,,Charales de agua dulce nep,19096,
1630201302,SSA,Menidia menidia,Atlantic silverside,Capucette,Pejerrey del Atlántico,2264,(Linnaeus 1766)
16302XXXXX,SIL,Atherinidae,Silversides(=Sand smelts) nei,Athérinidés nca,Pejerreyes nep,3058,
1650100102,MUF,Mugil cephalus,Flathead grey mullet,Mulet à grosse tête,Pardete,3050,Linnaeus 1758
1650100112,MUB,Mugil liza,Lebranche mullet,Mulet lebranche,Lebranche,2257,Valenciennes 1836
1650100121,MGU,Mugil curema,White mullet,Mulet blanc,Lisa blanca,3051,Valenciennes 1836
1650100122,MGI,Mugil incilis,Parassi mullet,Mulet parassi,Lisa rayada,3052,Hancock 1830
1650100128,MYZ,Mugil soiuy,So-iuy mullet,Mulet so-iuy,Lisa so-iuy,2258,Basilewsky 1855
1650100143,MUO,Mugil capurrii,Leaping African mullet,Mulet sauteur d'Afrique,Galúa africana,3053,(Perugia 1892)
16501001XX,MGS,Mugil spp,,,,18624,
1650100202,MLR,Chelon labrosus,Thicklip grey mullet,Mulet lippu,,11324,(Risso 1827)
1650100602,AJW,Agonostomus monticola,Mountain mullet,Mulet de fleuve,Lisa de río,18787,(Bancroft 1834)
1650101001,MUA,Joturus pichardi,Bobo mullet,Mulet bobo,Bobo,2259,Poey 1860
1650101202,MGC,Liza ramada,Thinlip grey mullet,Mulet porc,Morragute,3054,(Risso 1810)
1650101203,MGA,Liza aurata,Golden grey mullet,Mulet doré,Galupe,3055,(Risso 1810)
1650101206,LZS,Liza saliens,Leaping mullet,Mulet sauteur,Galúa,2261,(Risso 1810)
1650101216,LZV,Liza vaigiensis,Squaretail mullet,Mulet mopiro,Lisa mopiro,18731,(Quoy & Gaimard 1825)
1650101217,LZK,Liza klunzingeri,Klunzinger's mullet,,,18864,(Day 1888)
1650101220,LZH,Liza abu,Abu mullet,,,19844,(Heckel 1843)
1650101224,SOY,Liza haematocheilus,So-iny (redlip) mullet,Mulet so-iny,Lisa so-iny,2260,(Temminck & Schlegel 1845)
1650104302,VMH,Valamugil seheli,Bluespot mullet,Mulet à tache bleue,Lisa de mancha azul,15945,(Forsskål 1775)
16501XXXXX,MUL,Mugilidae,Mullets nei,Mulets nca,Lizas nep,2256,
1680200101,FLT,Monopterus albus,Asian swamp eel,,,2272,(Zuiew 1793)
1680200402,SXR,Synbranchus marmoratus,Marbled swamp eel,,,15540,Bloch 1795
1680400502,MWY,Mastacembelus erythrotaenia,Fire eel,,,19039,Bleeker 1850
1680400503,JCB,Mastacembelus cunningtoni,,,,19631,(Boulenger 1906)
17000XXXXX,CJX,Caesionidae,Fusiliers nei,Fusiliers nca,Fusileros nep,18982,
1700102502,EPU,Centropomus armatus,Armed snook,,,11185,Gill 1863
1700102503,EPN,Centropomus ensiferus,Swordspine snook,Brochet de mer,,11186,Poey 1860
1700102504,EPD,Centropomus medius,Blackfin snook,,,11187,Günther 1864
1700102506,EPG,Centropomus nigrescens,Black snook,,,11188,Günther 1864
1700102509,EPL,Centropomus robalito,Yellowfin snook,,,11191,Jordan & Gilbert 1882
1700102510,SNO,Centropomus undecimalis,Common snook,Crossie blanc,Róbalo blanco,2274,(Bloch 1792)
1700102511,JPV,Centropomus viridis,White snook,Crossie argenté,Róbalo plateado,19283,Lockington 1877
17001025XX,ROB,Centropomus spp,Snooks(=Robalos) nei,Crossies nca,Róbalos nep,3066,
1700116701,GIP,Lates calcarifer,Barramundi(=Giant seaperch),Perche barramundi,Perca gigante,3068,(Bloch 1790)
1700116703,LTG,Lates angustifrons,Tanganyika lates,,,13059,Boulenger 1906
1700116705,LSM,Lates mariae,Bigeye lates,,,13061,Steindachner 1909
1700116706,LSL,Lates microlepis,Forktail lates,,,13062,Boulenger 1898
1700116707,NIP,Lates niloticus,Nile perch,Perche du Nil,Perca del Nilo,2275,(Linnaeus 1758)
1700116708,IRQ,Lates stappersii,Sleek lates,,,19632,(Boulenger 1914)
17001167XX,PEX,Lates spp,Freshwater perches nei,Perches d'eau douce nca,Percas de agua dulce nep,3067,
1700118001,PWG,Psammoperca waigiensis,Waigieu seaperch,,,14618,(Cuvier 1828)
1700200101,EHG,Aethaloperca rogaa,Redmouth grouper,Vieille roga,Cherna roga,10211,(Forsskål 1775)
1700200901,RNL,Caprodon longimanus,Pink maomao,,,11083,(Günther 1859)
1700201101,RTZ,Cratinus agassizii,Graery threadfin seabass,,,11601,Steindachner 1878
1700204001,MAB,Mycteroperca bonaci,Black grouper,Badèche bonaci,Cuna bonací,13573,(Poey 1860)
1700204004,MKM,Mycteroperca microlepis,Gag,Badèche baillou,Cuna aguají,13578,(Goode & Bean 1879)
1700204006,MKH,Mycteroperca phenax,Scamp,Badèche galopin,Cuna garopa,13579,Jordan & Swain 1884
1700204007,MKU,Mycteroperca rubra,Mottled grouper,Badèche rouge,Gitano,13581,(Bloch 1793)
1700204009,MKV,Mycteroperca venenosa,Yellowfin grouper,Badèche de roche,Cuna de piedra,13583,(Linnaeus 1758)
1700204010,GBS,Mycteroperca xenarcha,Broomtail grouper,Badèche balai,Garropa jaspeada,3070,Jordan 1888
1700204011,MKF,Mycteroperca fusca,Island grouper,Mérou d'île,Mero abadejo,13575,(Lowe 1838)
1700204012,MKN,Mycteroperca interstitialis,Yellowmouth grouper,Badèche gueule jaune,Cuna amarilla,13576,(Poey 1860)
17002040XX,GPB,Mycteroperca spp,Brazilian groupers nei,Badèches nca,Cunas nep,2277,
1700204201,GPD,Epinephelus marginatus,Dusky grouper,Mérou noir,Mero moreno,3071,(Lowe 1834)
1700204202,GPW,Epinephelus aeneus,White grouper,Mérou blanc,Cherna de ley,3072,(Geoffroy St. Hilaire 1817)
1700204205,EPA,Epinephelus akaara,Hong Kong grouper,Mérou rouge tacheté,Mero de pintas rojas,2279,(Temminck & Schlegel 1842)
1700204208,EEN,Epinephelus lanceolatus,Giant grouper,Mérou lancéolé,Mero lanceolado,12076,(Bloch 1790)
1700204211,EER,Epinephelus merra,Honeycomb grouper,Mérou gâteau de cire,Mero panal,12081,Bloch 1793
1700204215,EIF,Epinephelus septemfasciatus,Convict grouper,Mérou bagnard,Mero carcelario,12090,(Thunberg 1793)
1700204219,EPT,Epinephelus tauvina,Greasy grouper,Mérou loutre,Mero lutria,3073,(Forsskål 1775)
1700204220,GPN,Epinephelus striatus,Nassau grouper,Mérou rayé,Cherna criolla,2280,(Bloch 1792)
1700204221,EFD,Epinephelus adscensionis,Rock hind,Mérou oualioua,Mero cabrilla,12051,(Osbeck 1765)
1700204222,GPS,Epinephelus analogus,Spotted grouper,Mérou cabrilla,Mero moteado,3074,Gill 1863
1700204223,EED,Epinephelus drummondhayi,Speckled hind,Mérou grivelé,Mero pintaroja,12066,Goode & Bean 1878
1700204224,EEL,Epinephelus flavolimbatus,Yellowedge grouper,Mérou aile jaune,Mero aleta amarilla,12070,Poey 1865
1700204225,EEU,Epinephelus guttatus,Red hind,Mérou couronné,Mero colorado,12071,(Linnaeus 1758)
1700204228,GPR,Epinephelus morio,Red grouper,Mérou rouge,Mero americano,3075,(Valenciennes 1828)
1700204229,EEY,Epinephelus mystacinus,Misty grouper,Mérou brouillard,Mero listado,12083,(Poey 1851)
1700204230,EFV,Epinephelus niveatus,Snowy grouper,Mérou neige,Cherna pintada,12085,(Valenciennes 1828)
1700204232,EFJ,Epinephelus caninus,Dogtooth grouper,Mérou gris,Mero dentón,12058,(Valenciennes 1843)
1700204234,EEG,Epinephelus goreensis,Dungat grouper,Mérou de Gorée,Mero de Gorea,2281,(Valenciennes 1830)
1700204235,EEP,Epinephelus morrhua,Comet grouper,Mérou comète,Mero cometa,12082,(Valenciennes 1833)
1700204236,ELG,Epinephelus nigritus,Warsaw grouper,Mérou Varsovie,Mero negro,12084,(Holbrook 1855)
1700204240,EPR,Epinephelus areolatus,Areolate grouper,Mérou aréolé,Mero areolado,3076,(Forsskål 1775)
1700204244,MAR,Epinephelus malabaricus,Malabar grouper,Mérou malabar,Mero malabárico,2282,(Bloch & Schneider 1801)
1700204250,EFC,Epinephelus acanthistius,Rooster hind,Mérou coq,Baqueta,12050,(Gilbert 1892)
1700204253,EFK,Epinephelus bleekeri,Duskytail grouper,Mérou demi-deuil,Mero medioluto,12056,(Vaillant 1878)
1700204255,EFH,Epinephelus chlorostigma,Brownspotted grouper,Mérou pintade,Mero pintado,12059,(Valenciennes 1828)
1700204257,ENI,Epinephelus coioides,Orange-spotted grouper,Mérou taches oranges,Mero de pintas naranjas,12061,(Hamilton 1822)
1700204269,EEK,Epinephelus polyphekadion,Camouflage grouper,Mérou camouflage,Mero disfrazado,12086,(Bleeker 1849)
1700204273,EWC,Epinephelus caeruleopunctatus,Whitespotted grouper,Mérou taches blanches,Mero nevero,18917,(Bloch 1790)
1700204274,EWF,Epinephelus fuscoguttatus,Brown-marbled grouper,Mérou marron,Mero manchado,18918,(Forsskål 1775)
